timestamp,netid,ruid,section,role,major,data_structures,calculus_and_linear_algebra,probability_and_statistics,data_visualization,python_libraries,shell_scripting,sql,python_scripting,jupyter_notebook,regression,programming_languages,algorithms,complexity_measures,visualization_tools,massive_data_processing
2025-09-04 06:07:17 +0800,bdace9b8bf,a5b7fdfcfca1bdfafb,04,Senior,Computer Science,35,16,50,35,12,1,1,5,5,5,24,22,4,8,0
2025-09-03 23:27:02 +0100,c0d6cbcec4,9d8cc2c4c4978dc1c5,01,Junior,Computer Science,10,5,14,11,4,1,0,1,0,0,7,3,0,0,0
2025-09-03 18:05:49 -0400,fce8fefdf5a0,33226d6a6a3425686a,01,Junior,Computer Science,4,13,13,14,4,1,1,1,1,0,6,4,1,0,0
2025-09-04 06:14:59 +0800,fee3bdfffbac,f9e8a4a0a0f9e1a1a2,03,Senior,Computer Science,16,12,28,24,13,1,5,0,0,7,19,15,5,7,2
2025-09-04 06:38:55 +0800,534b5f535e,e3fabab9bae1f7b2bcbee8f1beb8,04,Junior,Computer Science,13,13,44,28,4,1,,1,1,0,,1,0,4,0
2025-09-03 18:31:10 -0400,d1cf93d1d982,c8d9969191c8d19094,01,Senior,Computer Science,26,18,34,27,11,1,,5,0,4,,17,5,0,0
2025-09-03 15:07:25 -0700,2c37772628,6a703530306d7f3834,01,Junior,Computer Science,,9,25,20,14,1,5,0,5,0,16,11,0,1,1
2025-09-04 00:09:09 +0200,7c6022727a21,9485c8cdcd9185cec8,01,Senior,Computer Science,17,12,19,10,0,1,1,1,1,4,17,0,,4,0
2025-09-03 18:11:24 -0400,505a1a4d4913,d6c48d8f8fd3c08d8a,03,Senior,Computer Science,29,22,52,22,0,1,0,5,1,3,16,4,10,0,1
2025-09-03 19:22:47 -0300,2e223536346d,f2e0aaababf8e6a9a3,01,Junior,Computer Science,27,22,52,26,14,1,5,0,5,5,14,16,4,,1
2025-09-03 12:35:07 -1000,706e27737827,e1f0bfb8b8e6f9bcbb,02,Senior,Computer Science,17,11,22,26,12,5,5,0,5,3,14,13,4,2,1
2025-09-03 18:33:54 -0400,717b747272,3b296062623d2c6765,03,Junior,Computer Science,22,12,23,16,4,1,5,1,0,0,13,11,0,0,1
2025-09-03 19:17:21 -0300,464a4347411c,3e2c62676738296460,01,Senior,Electrical and Computer Engineering,9,7,11,13,0,1,1,1,1,0,5,4,0,0,0
2025-09-03 18:36:24 -0400,62633b787921,daca8b8383d9c38385,02,Junior,Mathematics,15,7,6,10,2,5,5,1,5,0,13,13,1,1,0
2025-09-03 16:09:51 -0600,faf5fdf4f4ae,6776393e3e6d713e3e,01,Senior,Mathematics,11,15,26,,,0,5,0,5,3,14,7,1,14,4
2025-09-03 11:27:47 -1100,c5c99ed8de,60723b393964783139,04,Senior,Computer Science,16,11,26,,6,1,1,1,5,3,11,7,5,3,0
2025-09-03 17:36:22 -0500,9a899f989a,6a783533336f7b3331,01,Junior,Computer Science,18,9,25,16,,1,0,1,1,3,13,14,4,,
2025-09-04 06:24:08 +0800,9086c19496cf,31206d686835206c60,01,Senior,Mathematics,26,21,26,28,9,0,0,5,0,4,20,22,10,1,2
2025-09-04 06:34:49 +0800,3e377a2227,4e5c161717495f1016,04,Senior,Computer Science,32,25,,28,14,1,,5,5,2,20,17,0,,4
2025-09-04 05:16:25 +0700,0017401e14,6e7c34373769783237,03,Junior,Computer Science,35,25,28,30,20,1,1,5,5,8,14,27,10,,0
2025-09-03 19:26:08 -0300,1d04481a1a49,decf818787dacc878f,02,Senior,Computer Science,29,9,21,28,10,1,0,5,0,11,16,16,10,1,1
2025-09-03 22:09:39 +0000,6668646765,05175f5c5c03145d5c,03,Junior,Computer Science,27,17,54,29,15,5,5,5,5,,28,25,8,23,
2025-09-03 15:19:38 -0700,0d367927237d,6776383e3e6473393c,01,Junior,Computer Science,11,13,17,17,4,1,1,1,1,3,12,13,0,,0
2025-09-04 07:17:59 +0900,d6dcd0d0d3,a1b3faf8f8a0b6f1f1,02,Junior,Computer Science,24,15,27,21,,1,5,0,0,0,16,9,4,7,0
2025-09-03 19:13:33 -0300,c3c58bcfce,afbef0f6f6aabaf4f7,03,Senior,Computer Science,28,15,53,31,13,0,5,5,,3,21,14,2,4,0
2025-09-03 23:24:11 +0100,fee3f0f0f0ab,8686ccc9cd9680c4caca,01,Junior,Computer Science,24,20,32,28,4,1,1,1,,6,12,29,10,0,0
2025-09-04 09:07:33 +1100,293222272571,190b4240401a0b4940,03,Junior,Mathematics,14,13,25,19,0,5,1,0,1,3,17,7,0,2,0
2025-09-03 22:29:55 +0000,9291cd888e,04165c5d5d0513595f,01,Junior,Computer Science,20,14,18,13,11,1,0,5,0,11,16,4,0,3,2
2025-09-04 06:10:00 +0800,30206c3b3f65,78682321217a682021,01,Junior,Computer Science,14,11,19,21,8,0,5,1,1,3,9,14,6,3,1
2025-09-04 07:13:08 +0900,081a1416104d,312369686830276869,04,Junior,Computer Science,35,20,41,29,16,1,5,5,5,4,24,18,8,8,0
2025-09-03 22:09:15 +0000,121f0a0d0854,6e7f3237376b7a3130,01,Senior,Electrical and Computer Engineering,,19,46,35,20,0,5,0,0,3,23,12,6,21,0
2025-09-04 01:13:32 +0300,1b0f13121349,2d3f7274742f387074,01,Senior,Computer Science,34,25,36,35,19,0,0,5,5,12,27,28,5,,12
2025-09-04 00:16:08 +0200,8d9085848c,a5b7fcfcfda1b7fd,02,Sophomore,Computer Science,23,18,45,18,4,1,5,0,1,4,17,11,5,1,0
2025-09-03 19:09:18 -0300,6d61316e6432,04165e5d5d03175e54,03,Junior,Computer Science,,,40,26,10,5,0,0,0,4,24,25,2,2,3
2025-09-03 21:32:36 -0100,75757c767e27,2637787f7f2c34777a,01,Senior,Computer Science,28,19,46,28,13,1,5,5,,12,18,17,6,4,2
2025-09-04 04:15:01 +0600,8392dadada8891d3dd,7163257279,02,Senior,Computer Science,16,14,,20,0,0,0,0,0,0,0,0,0,0,0
2025-09-04 01:19:18 +0300,ebfbbde0e8b8,8496dcdddd8e92dcdb,01,Junior,Computer Science,23,13,31,28,12,1,5,5,5,9,17,14,2,2,1
2025-09-03 18:11:17 -0400,a2b3b8bebbe5,f7e5acaeaef4e5a8ae,03,Junior,Computer Science,25,18,41,28,7,1,0,0,0,5,16,14,3,0,0
2025-09-03 23:25:17 +0100,0c1e1011174b,8193dbd8d88297ded0,03,Junior,Computer Science,21,14,31,12,2,1,1,1,1,2,19,11,0,1,1
2025-09-04 06:08:14 +0800,f5faf2fbfba0,7f6e2226267a6e2e22,04,Junior,Computer Science,,13,36,22,8,1,0,5,1,7,18,6,6,5,0
2025-09-03 23:16:47 +0100,02101e1a1343,9081cdc9c99186c9c8,03,Junior,Computer Science,27,19,55,34,15,1,5,5,5,12,15,21,6,11,2
2025-09-04 10:16:13 +1200,7b5719474d1f,d8ca808181dcc98086,03,Senior,Computer Science,16,11,19,19,2,1,1,5,1,0,19,4,0,0,0
2025-09-03 23:08:31 +0100,c0cf8ad9da87,9584cacccc9785c5c8,03,Senior,Computer Science,,20,53,30,9,0,0,5,5,6,19,,8,1,
2025-09-04 00:17:43 +0200,27054e0f0e5d,fdeca1a4a4f8e8aca5,01,Junior,Computer Science,22,,17,24,4,1,5,1,5,2,21,18,9,0,0
2025-09-03 15:10:24 -0700,dfcdc3c6ce98,dbca858282dbcd8582,04,Senior,Computer Science,20,20,45,31,0,1,1,1,5,,16,13,10,0,0
2025-09-03 17:28:56 -0500,dec2dadedf87,3e2c656767382f666f,03,Senior,Computer Science,21,14,31,12,2,1,1,1,,2,19,11,0,1,1
2025-09-03 17:34:35 -0500,8b8a9b9497,26377b7f7f2136787a,01,Senior,Computer Science,23,16,29,24,,1,5,0,5,3,24,22,8,,4
2025-09-03 13:06:50 -0900,e8fee3ece3,8193dbd8d88390dfd9,04,Senior,Computer Science,29,15,26,26,13,1,0,0,0,4,21,8,5,6,3
2025-09-03 15:09:17 -0700,9681919f9c,8694dddfdf8693d8df,01,Senior,Computer Science,27,12,19,20,10,1,0,5,5,5,14,14,3,0,0
2025-09-03 16:22:12 -0600,555f5b5f5f,d6c78a8f8fdcc78d86,01,Senior,Electrical and Computer Engineering,4,,26,7,4,5,0,0,0,3,7,7,4,7,3
2025-09-04 03:29:42 +0500,d2ce83dedd,273d787d7d22347874,01,Senior,Computer Science,24,15,39,26,9,1,5,0,5,,21,13,3,4,0
2025-09-03 15:36:36 -0700,2f202c2927,01135a585806115859,03,Senior,Computer Science,32,24,31,32,20,5,5,5,5,13,16,,4,1,1
2025-09-03 18:29:27 -0400,dec3ddd2d3,1301484a4a180a424f,01,Junior,Computer Science,21,11,27,26,13,1,5,0,0,4,19,14,4,5,0
2025-09-04 08:07:07 +0930,baa1b8bbbbe3,8392dcdada819bd2d2,01,Junior,Computer Science,28,13,35,15,9,1,0,5,5,6,20,14,6,2,0
2025-09-04 07:54:31 +0930,f6faa4f3,8496d9dddd8f91dcdd,04,Junior,Computer Science,21,19,46,25,11,1,0,1,1,3,22,18,8,8,1
2025-09-04 07:06:45 +0900,6a7630676b3d,9382cdcaca9683c2ca,03,Sophomore,Computer Science,17,25,37,12,1,1,1,1,,3,10,14,10,0,0
2025-09-04 08:33:30 +1000,51420e4b4d,15044c4c4c100c444c,03,Senior,Computer Science,16,18,38,10,6,1,1,1,5,3,10,21,10,1,1
2025-09-04 05:09:47 +0700,47545e565704,392b6760603d296861,01,Senior,Computer Science,23,11,26,21,,1,0,0,0,3,14,21,,1,0
2025-09-04 00:15:33 +0200,d1d28bcac997,4a5b1b13134e521b10,02,Junior,Computer Science,20,9,17,17,8,1,1,1,,1,17,20,7,4,0
2025-09-03 21:17:01 -0100,cfcc86c7c09c,baabe6e3e3bfafe2ea,02,Junior,Computer Science,25,15,55,34,10,1,5,1,0,3,21,28,8,7,3
2025-09-04 06:08:49 +0800,1a02010f08,081a515151031b5951,01,Junior,Computer Science,26,11,24,19,8,1,1,1,5,0,13,8,1,0,0
2025-09-04 00:05:22 +0200,c1d4dedb,8591dadfdf8c9fded6,03,Senior,Computer Science,13,,14,35,20,1,0,0,0,3,19,30,2,7,2
2025-09-04 08:32:01 +1000,58480d5351,31206f686832216868,03,Junior,Computer Science,19,17,26,20,2,0,0,0,0,,17,13,6,0,5
2025-09-03 16:36:37 -0600,9491999b9dc3,ccde919595cbdb9095,01,Senior,Computer Science,,15,28,27,1,0,5,0,5,0,14,14,0,4,2
2025-09-04 00:24:07 +0200,6860696a6a,13014b4a4a190b4d4c,02,Junior,Computer Science,28,20,61,35,16,0,0,5,0,10,23,28,6,5,3
2025-09-04 03:31:01 +0500,6c68707077,9a8bc4c3c39d8fc2c5,02,Senior,Computer Science,9,8,26,14,2,1,1,1,1,3,6,8,3,2,0
2025-09-04 01:33:27 +0300,87,6071,01,Junior,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2025-09-03 22:07:40 +0000,dfd49bc1c69b,17054b4e4e140f4b4f,01,Junior,Electrical and Computer Engineering,20,5,37,26,,5,5,0,1,0,6,25,6,23,10
2025-09-04 00:29:54 +0200,8392dadada8891d3dd,7163257279,02,Senior,Computer Science,15,14,32,21,0,0,5,1,,0,14,8,7,5,0
2025-09-03 10:25:04 -1200,373e6a3439,8692d6dfdf8c90dade,03,Senior,Computer Science,21,15,39,21,12,0,1,1,1,3,19,,0,0,0
2025-09-03 19:18:44 -0300,8f96d28b87d0,0c1d565555091b5253,04,Senior,Computer Science,12,8,7,25,8,0,1,0,0,,12,4,1,2,0
2025-09-03 19:24:59 -0300,dec580d7df8f,8f9dd2d6d68d97d0d7,04,Junior,Electrical and Computer Engineering,25,24,47,18,10,0,5,1,0,3,21,22,9,2,5
2025-09-03 21:10:29 -0100,adabebb6b3,60703e39396773313e,01,Senior,Mathematics,30,20,,20,12,0,0,5,5,,20,20,8,1,2
2025-09-04 08:06:05 +1000,8a90d1898fdf,acbef4f5f5acbcf2fd,03,Senior,Mathematics,20,24,52,29,0,1,1,1,1,9,18,20,5,0,0
2025-09-03 11:36:30 -1100,203e2a2928,2e3a7e777729377070,01,Senior,Computer Science,0,0,0,,0,0,0,,0,0,,0,0,0,0
2025-09-04 12:25:17 +1400,d4c285d0df,06145d5f5f00175858,03,Sophomore,Computer Science,15,15,25,14,6,1,1,1,0,0,6,0,0,0,0
2025-09-03 13:06:59 -0900,a3acffa0ad,1b0846424218094b46,02,Senior,Computer Science,21,7,15,18,12,1,5,1,5,0,15,2,0,9,4
2025-09-04 01:14:32 +0300,ebf5e2e0e7be,31206d68683125616d,01,Junior,Computer Science,26,20,42,26,11,1,0,0,5,9,,20,8,1,0
2025-09-03 12:31:07 -1000,040e550b0c,2534797c7c23317c7a,03,Senior,Computer Science,26,10,35,27,10,1,5,5,5,3,20,12,6,8,
2025-09-03 22:14:49 +0000,0506401c1e45,d1c1898888d7c38c88,01,Junior,Computer Science,28,15,38,26,10,1,5,0,5,3,16,15,10,8,4
2025-09-04 03:29:13 +0500,b8b6a4a3a2,9e8fc1c7c79e8bc2c4,01,Senior,Computer Science,21,10,43,28,12,1,0,0,0,7,20,21,7,8,5
2025-09-03 23:16:18 +0100,a5bde5a1a7f6,4554191c1c425d1c1d,02,Junior,Computer Science,10,11,37,21,11,1,5,0,1,0,16,11,2,1,0
2025-09-03 16:11:42 -0600,b782d494,392b6460603f286465,04,Junior,Electrical and Computer Engineering,29,21,48,31,10,1,5,5,5,7,20,10,5,1,0
2025-09-03 16:11:47 -0600,cadb82d9d5,feeca3a7a7fee6a3a1,01,Junior,Computer Science,20,11,32,21,12,1,0,0,5,3,13,12,3,6,1
2025-09-03 12:14:09 -1000,9491999b9dc3,ccde919595cbdb9095,01,Junior,Computer Science,0,,0,,0,0,0,0,0,0,0,0,0,0,0
2025-09-03 22:28:53 +0000,322d323a346a,54460e0d0d5347050b,04,Sophomore,Computer Science,25,14,31,24,12,1,5,5,5,,18,,0,2,1
2025-09-03 22:35:14 +0000,acbee6a5a4f5,bbaae7e2e2b1aceae7,03,Senior,Computer Science,12,10,15,14,4,0,5,0,5,3,12,14,4,14,6
2025-09-04 00:15:23 +0200,383d2123247e,45551b1c1c415c141e,01,Senior,Computer Science,25,11,42,35,8,1,5,,5,3,14,16,10,0,1
2025-09-04 08:12:15 +1000,f0f2e8eae0b7,7260282b2b746a282a,01,Senior,Computer Science,33,25,54,32,18,1,5,5,5,9,20,26,,,1
2025-09-04 01:29:50 +0300,8b8cc28089de,5d4c0104045b490005,04,Senior,Computer Science,25,13,43,25,4,1,5,1,1,12,12,4,1,5,0
2025-09-03 18:09:32 -0400,e8f1abefed,8497dcdddd8f94d9,01,Senior,Computer Science,31,15,24,,16,1,5,5,1,3,20,13,2,2,2
2025-09-04 00:37:44 +0200,2f2363343e6e,dccd808585daca8080,01,Senior,Computer Science,20,15,21,7,,1,0,1,1,3,9,7,3,0,0
2025-09-03 14:29:11 -0800,716573707023,e6f7b7bfbfedf0bbbe,01,Senior,Computer Science,,10,,13,11,1,1,0,1,3,12,7,2,5,0
2025-09-04 00:12:03 +0200,5f42075a58,22337c7b7b26367a7f,04,Senior,Computer Science,26,14,35,32,10,0,5,0,0,0,11,14,5,2,0
2025-09-03 22:20:48 +0000,3a356132,fceea1a5a5f9eca7a6,04,Senior,Computer Science,28,13,39,32,10,1,,1,5,8,20,11,5,6,0
2025-09-03 13:08:17 -0900,6370237a7325,fceea6a5a5fee8ada6,03,Senior,Computer Science,26,16,36,25,13,1,5,1,0,2,17,12,5,2,3
2025-09-04 01:19:30 +0300,6a676c6d6c,0415585d5d0317555b,01,Senior,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2025-09-03 15:21:38 -0700,c5d4dfdadd8c,1c0f474545190f4d42,01,Senior,Computer Science,25,19,42,28,14,1,5,5,5,5,14,22,5,3,0
2025-09-04 00:11:33 +0200,fbe9b9fffca4,e2f1bcbbbbe5f7bbbb,01,Junior,Computer Science,18,10,24,15,1,5,5,1,1,0,15,9,6,0,0
2025-09-03 16:38:35 -0600,6e7832636338,cad8919393c0d89a93,01,Junior,Computer Science,11,8,31,18,4,1,1,1,5,3,5,12,6,0,0
2025-09-04 08:23:45 +1000,8e84c9878a,9e8fc2c7c79e87c6cf,02,Junior,Computer Science,18,16,55,34,0,1,5,0,0,9,15,,5,0,0
2025-09-04 07:58:15 +0930,f6eefefffaa5,3a3a7372712a3d737478,03,Senior,Computer Science,28,20,26,28,13,0,5,5,5,12,19,18,2,18,3
2025-09-04 04:35:46 +0600,4743505959,2f3d75767625367f70,01,Junior,Mathematics,12,10,19,12,4,1,1,1,1,0,7,,0,0,0
2025-09-03 13:07:31 -0900,c4c796d4d7,4b591712124d521717,01,Junior,Mathematics,18,14,38,17,3,0,0,0,0,0,0,0,0,0,0
2025-09-04 01:08:32 +0300,f4ffe1eced,1d0e4d44441a084742,01,Senior,Computer Science,,25,0,9,2,1,1,1,1,,10,13,1,0,0
2025-09-04 05:24:26 +0700,3e0a1f1e1c,67763e3e3e667036362e,01,Sophomore,Computer Science,11,6,19,10,0,5,0,0,0,3,6,6,2,0,0
2025-09-04 00:21:29 +0200,d6cf94d6d68e9b,3c2661666634276e61,01,Senior,Computer Science,15,10,22,12,1,1,1,1,1,0,11,6,1,0,0
2025-09-04 00:17:18 +0200,b9adb8bcbbe4,39286860603a216160,04,Senior,Computer Science,13,10,14,16,0,1,1,1,1,1,11,6,1,2,1
2025-09-03 15:13:33 -0700,bbadb4bdbd,889ad4d1d1889bd0d8,01,Sophomore,Computer Science,23,18,40,34,,1,0,5,1,13,12,9,1,5,2
2025-09-03 22:12:08 +0000,8b8a848187,edffb0b4b4edf4b3b2,01,Senior,Computer Science,22,15,44,22,5,1,5,1,1,8,17,16,2,7,3
2025-09-03 18:21:33 -0400,3a2d3138356e,1e0c4447471c0f4042,02,Junior,Computer Science,17,15,25,18,6,,0,0,0,3,14,5,1,1,0
2025-09-03 22:27:59 +0000,4a4f00414012,a3b9f0f9f9a5b3fdfa,03,Senior,Computer Science,22,15,38,22,6,1,1,1,1,3,13,15,4,3,0
2025-09-04 00:11:51 +0200,bbb3e8abb2,8b99d1d2d28e9ad6d6,04,Junior,Mathematics,14,15,34,25,16,1,0,0,0,8,14,21,0,7,2
2025-09-04 09:06:53 +1100,a5aae0bcbbef,d0c2888989d0c78b8d,02,Senior,Computer Science,16,13,14,11,2,1,0,1,5,2,17,,0,0,1
2025-09-04 01:23:38 +0300,53420a,53420a,01,Junior,Mathematics,23,17,42,23,17,0,0,0,5,9,17,21,6,17,10
2025-09-03 18:13:30 -0400,0616451c1c,9e8cc6c7c79589c0c3,01,Junior,Computer Science,23,15,25,23,,1,5,5,1,3,22,22,2,0,0
2025-09-04 01:16:02 +0300,6266757076,d7c58f8e8ed3c1898e,03,Junior,Computer Science,28,15,41,7,4,1,1,1,1,0,10,0,2,0,0
2025-09-03 15:38:18 -0700,636c6760613e,7c6e2c25257b652227,01,Senior,Computer Science,23,15,32,26,3,1,1,5,5,7,15,11,5,2,1
2025-09-03 18:31:11 -0400,a7afa4a7a6ff,8e9fd0d7d78996d6d3,02,Sophomore,Computer Science,20,20,44,,4,0,0,0,5,0,13,7,4,0,0
2025-09-03 16:08:24 -0600,8193df8b88,8796d8dede8290dfd7,01,Junior,Computer Science,21,20,52,21,12,1,0,0,5,9,17,25,6,7,0
2025-09-04 01:11:09 +0300,383e22212178,d5c68e8c8cd5c0888d,01,Junior,Computer Science,28,16,22,19,3,1,5,1,1,3,13,13,0,1,0
2025-09-03 16:29:06 -0600,5e6a25737129,eeffb1b7b7eeffbfb5,01,Junior,Computer Science,24,16,49,28,16,0,5,0,5,3,19,20,8,3,1
2025-09-03 23:32:26 +0100,0c014b13,9686c7cfcf9681ccc8,01,Junior,Electrical and Computer Engineering,11,5,17,11,2,1,,1,1,,5,4,2,,0
2025-09-04 00:21:28 +0200,a89a979d95,8b9bdad2d28e92d2da,02,Sophomore,Mathematics,18,,26,16,11,1,5,0,0,4,17,10,3,19,4
2025-09-03 22:22:08 +0000,eaecb4edea,8d9dd4d4d48f99d0d0,02,Senior,Computer Science,14,5,5,13,4,1,5,1,1,0,8,7,0,0,0
2025-09-03 18:29:26 -0400,e7d58dcecf9e,bbaae7e2e2b1aceae7,01,Senior,Computer Science,11,9,14,10,1,0,0,0,0,0,0,0,0,0,0
2025-09-03 17:26:09 -0500,eef7a3e5e6,03125d5a5a06105b5d,03,Senior,Electrical and Computer Engineering,35,19,39,34,18,1,0,0,5,6,25,25,6,12,0
2025-09-04 10:06:40 +1200,d6da8cd2d28d,11024f48481a064940,03,Junior,Computer Science,9,6,9,12,1,1,1,1,1,0,7,5,2,0,0
